pathway,hugo_gene
Beta2 adrenergic receptor signaling pathway,Prkaca
Beta2 adrenergic receptor signaling pathway,Gng5
Beta2 adrenergic receptor signaling pathway,Snap29
Beta2 adrenergic receptor signaling pathway,Gnas
Beta2 adrenergic receptor signaling pathway,Gnb4
Beta2 adrenergic receptor signaling pathway,Gnb1
Beta2 adrenergic receptor signaling pathway,Prkacb
Beta2 adrenergic receptor signaling pathway,Prkx
Beta2 adrenergic receptor signaling pathway,Gng10
Beta2 adrenergic receptor signaling pathway,Tcf3
Beta2 adrenergic receptor signaling pathway,Mrpl16
Beta2 adrenergic receptor signaling pathway,Gng2
Beta2 adrenergic receptor signaling pathway,Adcy7
Beta2 adrenergic receptor signaling pathway,Vamp8
Asparagine and aspartate biosynthesis,Got1
Asparagine and aspartate biosynthesis,Got2
Asparagine and aspartate biosynthesis,Asns
Toll receptor signaling pathway,Mapk14
Toll receptor signaling pathway,Nfkb2
Toll receptor signaling pathway,Jun
Toll receptor signaling pathway,Map3k1
Toll receptor signaling pathway,Tnfaip3
Toll receptor signaling pathway,Ube2n
Toll receptor signaling pathway,Mapk9
Toll receptor signaling pathway,Map3k8
Toll receptor signaling pathway,Tbk1
Toll receptor signaling pathway,Nfkbia
Toll receptor signaling pathway,Map2k3
Toll receptor signaling pathway,Nfkb1
Toll receptor signaling pathway,Traf6
Toll receptor signaling pathway,Myd88
Toll receptor signaling pathway,Ube2v1
Toll receptor signaling pathway,Map3k7
Toll receptor signaling pathway,Rela
Toll receptor signaling pathway,Tank
Toll receptor signaling pathway,Irf7
Toll receptor signaling pathway,Nfkbie
Toll receptor signaling pathway,Map2k1
Toll receptor signaling pathway,Mapk3
Toll receptor signaling pathway,Map2k4
Toll receptor signaling pathway,Ecsit
Toll receptor signaling pathway,Ikbkb
Toll receptor signaling pathway,Map2k2
Toll receptor signaling pathway,Rel
Toll receptor signaling pathway,Chuk
Toll receptor signaling pathway,Mapk1
Toll receptor signaling pathway,Tollip
Toll receptor signaling pathway,Irf3
Toll receptor signaling pathway,Irak4
Toll receptor signaling pathway,Irak1
Angiogenesis,Mapkapk3
Angiogenesis,Rhob
Angiogenesis,Fos
Angiogenesis,Kras
Angiogenesis,Pik3c2a
Angiogenesis,Grb2
Angiogenesis,Jun
Angiogenesis,Araf
Angiogenesis,Pik3cg
Angiogenesis,Sh2d2a
Angiogenesis,Rhoa
Angiogenesis,Apc
Angiogenesis,Pik3r1
Angiogenesis,Ctnnb1
Angiogenesis,Hspb1
Angiogenesis,Prkce
Angiogenesis,Dok2
Angiogenesis,Ets1
Angiogenesis,Prkd3
Angiogenesis,Grb7
Angiogenesis,Ptpn11
Angiogenesis,Mapk3
Angiogenesis,Map2k4
Angiogenesis,Mapkapk2
Angiogenesis,Prkca
Angiogenesis,Axin1
Angiogenesis,F2r
Angiogenesis,Grap
Angiogenesis,Mapk1
Angiogenesis,Pik3c3
Angiogenesis,Ptpn6
Angiogenesis,Crk
Angiogenesis,Crkl
Angiogenesis,Prkcb
Angiogenesis,Akt1
Angiogenesis,Mapk14
Angiogenesis,Rhoc
Angiogenesis,Lpxn
Angiogenesis,Map3k1
Angiogenesis,Pak2
Angiogenesis,Birc5
Angiogenesis,Stoml2
Angiogenesis,Prkcz
Angiogenesis,Akt2
Angiogenesis,Prkch
Angiogenesis,Pik3ca
Angiogenesis,Stat1
Angiogenesis,Stat3
Angiogenesis,Notch2
Angiogenesis,Prkcd
Angiogenesis,Pik3cd
Angiogenesis,Efnb2
Angiogenesis,Sos1
Angiogenesis,Prkcq
Angiogenesis,Plcg1
Angiogenesis,Hras
Angiogenesis,Rbpj
Angiogenesis,Hif1a
Angiogenesis,Mapk6
Angiogenesis,Tcf7
Angiogenesis,Gm2a
Angiogenesis,Dvl2
Angiogenesis,Shc1
Angiogenesis,Sos2
Angiogenesis,Braf
Angiogenesis,Notch1
Angiogenesis,Jak1
Angiogenesis,Nck1
Angiogenesis,Nras
Angiogenesis,Dok1
Angiogenesis,Prkd2
Angiogenesis,Map2k1
Angiogenesis,Rasa1
Angiogenesis,Arhgap1
Angiogenesis,Map2k2
Angiogenesis,Raf1
Angiogenesis,Pak3
Angiogenesis,Gsk3b
Angiogenesis,Pxn
Angiogenesis,Sphk2
Axon guidance mediated by semaphorins,Rac2
Axon guidance mediated by semaphorins,Rhoa
Axon guidance mediated by semaphorins,Cdk5
Axon guidance mediated by semaphorins,Dpysl2
Axon guidance mediated by semaphorins,Crmp1
Axon guidance mediated by semaphorins,Arhgef1
Axon guidance mediated by semaphorins,Nrp1
Axon guidance mediated by semaphorins,Fyn
Axon guidance mediated by semaphorins,Rac1
Axon guidance mediated by semaphorins,Sema4d
Proline biosynthesis,Aldh18a1
Proline biosynthesis,Pycr2
Proline biosynthesis,Pycr3
Androgen/estrogene/progesterone biosynthesis,Soat2
Androgen/estrogene/progesterone biosynthesis,Soat1
Androgen/estrogene/progesterone biosynthesis,Hsd17b7
Androgen/estrogene/progesterone biosynthesis,Lipa
Androgen/estrogene/progesterone biosynthesis,Dgat1
Parkinson disease,Psma7
Parkinson disease,Ube2l3
Parkinson disease,Psmb4
Parkinson disease,Psma3
Parkinson disease,Mapk9
Parkinson disease,Stx7
Parkinson disease,Csk
Parkinson disease,Ywhah
Parkinson disease,Psmd13
Parkinson disease,Ywhae
Parkinson disease,Fbxw11
Parkinson disease,Hspa5
Parkinson disease,Cul2
Parkinson disease,Grk2
Parkinson disease,Sfn
Parkinson disease,Stx12
Parkinson disease,Lck
Parkinson disease,Csnk1g1
Parkinson disease,Mcm5
Parkinson disease,Hspa13
Parkinson disease,Csnk2a2
Parkinson disease,Septin1
Parkinson disease,Fyn
Parkinson disease,Psmb7
Parkinson disease,Mapk3
Parkinson disease,Ywhab
Parkinson disease,Stub1
Parkinson disease,Mapk1
Parkinson disease,Csnk1a1
Parkinson disease,Septin2
Parkinson disease,Tor1a
Parkinson disease,Mapk14
Parkinson disease,Ywhag
Parkinson disease,Csnk1g2
Parkinson disease,Ube2j2
Parkinson disease,Lyn
Parkinson disease,Ube2l6
Parkinson disease,Ccne1
Parkinson disease,Csnk1g3
Parkinson disease,Tor2a
Parkinson disease,Hspa9
Parkinson disease,Ywhaq
Parkinson disease,Hspa2
Parkinson disease,Psma1
Parkinson disease,Psma2
Parkinson disease,Ccne2
Parkinson disease,Cul1
Parkinson disease,Ube2g2
Parkinson disease,Psmb3
Parkinson disease,Ppp1r8
Parkinson disease,Psma4
Parkinson disease,Csnk1d
Parkinson disease,Psma5
Parkinson disease,Ywhaz
Parkinson disease,Hspa1b
Parkinson disease,Psmb10
Parkinson disease,Csnk2a1
Parkinson disease,Psma6
Parkinson disease,Csnk2b
Parkinson disease,Psmb1
Parkinson disease,Ndufv2
Parkinson disease,Hspa1a
Parkinson disease,Hspa8
Parkinson disease,Csnk1e
Beta3 adrenergic receptor signaling pathway,Vamp2
Beta3 adrenergic receptor signaling pathway,Gngt2
Beta3 adrenergic receptor signaling pathway,Gnb2
Beta3 adrenergic receptor signaling pathway,Snap23
Beta3 adrenergic receptor signaling pathway,Vamp3
Beta3 adrenergic receptor signaling pathway,Gng5
Beta3 adrenergic receptor signaling pathway,Snap29
Beta3 adrenergic receptor signaling pathway,Gnas
Beta3 adrenergic receptor signaling pathway,Gnb4
Beta3 adrenergic receptor signaling pathway,Gnb1
Beta3 adrenergic receptor signaling pathway,Gng10
Beta3 adrenergic receptor signaling pathway,Tcf3
Beta3 adrenergic receptor signaling pathway,Mrpl16
Beta3 adrenergic receptor signaling pathway,Gng2
Beta3 adrenergic receptor signaling pathway,Adcy7
Beta3 adrenergic receptor signaling pathway,Vamp8
Oxidative stress response,Dusp4
Oxidative stress response,Mapk14
Oxidative stress response,Mknk2
Oxidative stress response,Jun
Oxidative stress response,Bcl2
Oxidative stress response,Dusp1
Oxidative stress response,Ngly1
Oxidative stress response,Myc
Oxidative stress response,Dusp2
Oxidative stress response,Stat1
Oxidative stress response,Mapk9
Oxidative stress response,Ddit3
Oxidative stress response,Dusp12
Oxidative stress response,Dusp14
Oxidative stress response,Dusp10
Oxidative stress response,Map2k3
Oxidative stress response,Txnl1
Oxidative stress response,Max
Oxidative stress response,Dusp19
Oxidative stress response,Map3k4
Oxidative stress response,Dusp5
Oxidative stress response,Dusp6
Oxidative stress response,Styx
Oxidative stress response,Mknk1
Oxidative stress response,Map2k4
Oxidative stress response,Mef2a
Oxidative stress response,Dusp16
Oxidative stress response,Atf2
Oxidative stress response,Dusp22
Oxidative stress response,Txn
Arginine biosynthesis,Ass1
Arginine biosynthesis,Asl
Arginine biosynthesis,Cad
Opioid proenkephalin pathway,Vamp2
Opioid proenkephalin pathway,Gngt2
Opioid proenkephalin pathway,Gnb2
Opioid proenkephalin pathway,Snap23
Opioid proenkephalin pathway,Vamp3
Opioid proenkephalin pathway,Gng5
Opioid proenkephalin pathway,Snap29
Opioid proenkephalin pathway,Gnai2
Opioid proenkephalin pathway,Gnb4
Opioid proenkephalin pathway,Gnb1
Opioid proenkephalin pathway,Gng10
Opioid proenkephalin pathway,Gnai3
Opioid proenkephalin pathway,Tcf3
Opioid proenkephalin pathway,Penk
Opioid proenkephalin pathway,Mrpl16
Opioid proenkephalin pathway,Gng2
Opioid proenkephalin pathway,Adcy7
Opioid proenkephalin pathway,Vamp8
Histamine H2 receptor mediated signaling pathway,Prkar2a
Histamine H2 receptor mediated signaling pathway,Gngt2
Histamine H2 receptor mediated signaling pathway,Gnb2
Histamine H2 receptor mediated signaling pathway,Prkaca
Histamine H2 receptor mediated signaling pathway,Gng5
Histamine H2 receptor mediated signaling pathway,Gnas
Histamine H2 receptor mediated signaling pathway,Gnb4
Histamine H2 receptor mediated signaling pathway,Gnb1
Histamine H2 receptor mediated signaling pathway,Prkacb
Histamine H2 receptor mediated signaling pathway,Prkx
Histamine H2 receptor mediated signaling pathway,Gng10
Histamine H2 receptor mediated signaling pathway,Tcf3
Histamine H2 receptor mediated signaling pathway,Gng2
Histamine H2 receptor mediated signaling pathway,Adcy7
Cell cycle,Ccne2
Cell cycle,Rpa3
Cell cycle,Psmd4
Cell cycle,Psmd14
Cell cycle,Ccne1
Cell cycle,Ccnd3
Cell cycle,Cdk19
Cell cycle,Anapc2
Cell cycle,Eif3f
Cell cycle,Psmd12
Cell cycle,Psmd11
Cell cycle,Ccnb1
Cell cycle,Psmd7
Cell cycle,Anapc10
Cell cycle,Ccnk
Cell cycle,Psmd13
Cell cycle,Cinp
Cell cycle,E2f3
Cell cycle,Psme2
Cell cycle,Ccnd2
Cell cycle,Psme3
Cell cycle,Psmd3
5-Hydroxytryptamine degredation,Aldh7a1
5-Hydroxytryptamine degredation,Aldh16a1
5-Hydroxytryptamine degredation,Aldh9a1
5-Hydroxytryptamine degredation,Aldh3a2
EGF receptor signaling pathway,Kras
EGF receptor signaling pathway,Rras2
EGF receptor signaling pathway,Pik3c2a
EGF receptor signaling pathway,Grb2
EGF receptor signaling pathway,Dgcr8
EGF receptor signaling pathway,Araf
EGF receptor signaling pathway,Pik3cg
EGF receptor signaling pathway,Spry1
EGF receptor signaling pathway,Rac1
EGF receptor signaling pathway,Ppp2cb
EGF receptor signaling pathway,Mapk9
EGF receptor signaling pathway,Ppp2r5c
EGF receptor signaling pathway,Map2k7
EGF receptor signaling pathway,Ywhah
EGF receptor signaling pathway,Areg
EGF receptor signaling pathway,Prkce
EGF receptor signaling pathway,Ywhae
EGF receptor signaling pathway,Ccm2
EGF receptor signaling pathway,Sfn
EGF receptor signaling pathway,Ppp4c
EGF receptor signaling pathway,Map3k4
EGF receptor signaling pathway,Ppp2r5a
EGF receptor signaling pathway,Mrpl38
EGF receptor signaling pathway,Prkd3
EGF receptor signaling pathway,Map3k2
EGF receptor signaling pathway,Rapgef1
EGF receptor signaling pathway,Mapk3
EGF receptor signaling pathway,Ywhab
EGF receptor signaling pathway,Map2k4
EGF receptor signaling pathway,Prkca
EGF receptor signaling pathway,Stat4
EGF receptor signaling pathway,Grap
EGF receptor signaling pathway,Mapk1
EGF receptor signaling pathway,Pik3c3
EGF receptor signaling pathway,Stat5a
EGF receptor signaling pathway,Prkcb
EGF receptor signaling pathway,Akt1
EGF receptor signaling pathway,Rhog
EGF receptor signaling pathway,Ppp2ca
EGF receptor signaling pathway,Rac2
EGF receptor signaling pathway,Mapk14
EGF receptor signaling pathway,Ywhag
EGF receptor signaling pathway,Ppp6c
EGF receptor signaling pathway,Cblb
EGF receptor signaling pathway,Rras
EGF receptor signaling pathway,Map3k1
EGF receptor signaling pathway,Prkcz
EGF receptor signaling pathway,Akt2
EGF receptor signaling pathway,Prkch
EGF receptor signaling pathway,Pik3ca
EGF receptor signaling pathway,Stat1
EGF receptor signaling pathway,Stat3
EGF receptor signaling pathway,Ywhaq
EGF receptor signaling pathway,Prkcd
EGF receptor signaling pathway,Ube3a
EGF receptor signaling pathway,Pik3r5
EGF receptor signaling pathway,Pik3cd
EGF receptor signaling pathway,Sos1
EGF receptor signaling pathway,Prkcq
EGF receptor signaling pathway,Plcg1
EGF receptor signaling pathway,Map2k3
EGF receptor signaling pathway,Hras
EGF receptor signaling pathway,Rhoq
EGF receptor signaling pathway,Ppp2r5e
EGF receptor signaling pathway,Shc1
EGF receptor signaling pathway,Sos2
EGF receptor signaling pathway,Braf
EGF receptor signaling pathway,Stat5b
EGF receptor signaling pathway,Nras
EGF receptor signaling pathway,Cbl
EGF receptor signaling pathway,Prkd2
EGF receptor signaling pathway,Map2k1
EGF receptor signaling pathway,Stat2
EGF receptor signaling pathway,Rasa1
EGF receptor signaling pathway,Map2k2
EGF receptor signaling pathway,Ywhaz
EGF receptor signaling pathway,Raf1
EGF receptor signaling pathway,Stat6
EGF receptor signaling pathway,Ppp2r5d
EGF receptor signaling pathway,Rasa2
EGF receptor signaling pathway,Pebp1
Hypoxia response via HIF activation,Arnt
Hypoxia response via HIF activation,Pik3c2a
Hypoxia response via HIF activation,Egln2
Hypoxia response via HIF activation,Pik3cg
Hypoxia response via HIF activation,Ngly1
Hypoxia response via HIF activation,Akt2
Hypoxia response via HIF activation,Pik3ca
Hypoxia response via HIF activation,Pik3c3
Hypoxia response via HIF activation,Pik3r1
Hypoxia response via HIF activation,Vhl
Hypoxia response via HIF activation,Pik3cd
Hypoxia response via HIF activation,Egln1
Hypoxia response via HIF activation,Crebbp
Hypoxia response via HIF activation,Txn2
Hypoxia response via HIF activation,Mtor
Hypoxia response via HIF activation,Hif1a
Hypoxia response via HIF activation,Txn
Hypoxia response via HIF activation,Akt1
Hypoxia response via HIF activation,Pten
Sulfate assimilation,Papss1
Formyltetrahydrofolate biosynthesis,Mtr
Formyltetrahydrofolate biosynthesis,Mthfd2
Formyltetrahydrofolate biosynthesis,Mthfd1l
Formyltetrahydrofolate biosynthesis,Tyms
Formyltetrahydrofolate biosynthesis,Dhfr
N-acetylglucosamine metabolism,Gnpda1
N-acetylglucosamine metabolism,Gnpda2
N-acetylglucosamine metabolism,Amdhd2
N-acetylglucosamine metabolism,Gfpt1
Serine glycine biosynthesis,Phgdh
Serine glycine biosynthesis,Shmt2
Serine glycine biosynthesis,Shmt1
Serine glycine biosynthesis,Psph
Serine glycine biosynthesis,Psat1
Valine biosynthesis,Bcat1
Valine biosynthesis,Bcat2
Valine biosynthesis,Ilvbl
Metabotropic glutamate receptor group I pathway,Prkx
Metabotropic glutamate receptor group I pathway,Gna11
Metabotropic glutamate receptor group I pathway,Gna15
Metabotropic glutamate receptor group I pathway,Prkaca
Metabotropic glutamate receptor group I pathway,Prkar1a
Metabotropic glutamate receptor group I pathway,Itpr1
Metabotropic glutamate receptor group I pathway,Grina
Metabotropic glutamate receptor group I pathway,Prkcb
Metabotropic glutamate receptor group I pathway,Prkacb
Alzheimer disease-amyloid secretase pathway,Mapk14
Alzheimer disease-amyloid secretase pathway,Adam10
Alzheimer disease-amyloid secretase pathway,Adam9
Alzheimer disease-amyloid secretase pathway,Prkcz
Alzheimer disease-amyloid secretase pathway,Kat5
Alzheimer disease-amyloid secretase pathway,Prkch
Alzheimer disease-amyloid secretase pathway,Ncstn
Alzheimer disease-amyloid secretase pathway,Adam17
Alzheimer disease-amyloid secretase pathway,Psen2
Alzheimer disease-amyloid secretase pathway,Mapk9
Alzheimer disease-amyloid secretase pathway,Pkn2
Alzheimer disease-amyloid secretase pathway,Prkcd
Alzheimer disease-amyloid secretase pathway,Prkcq
Alzheimer disease-amyloid secretase pathway,Prkce
Alzheimer disease-amyloid secretase pathway,Psen1
Alzheimer disease-amyloid secretase pathway,Mapk6
Alzheimer disease-amyloid secretase pathway,Psenen
Alzheimer disease-amyloid secretase pathway,Klc1
Alzheimer disease-amyloid secretase pathway,Pcsk7
Alzheimer disease-amyloid secretase pathway,Mapk3
Alzheimer disease-amyloid secretase pathway,Pkn1
Alzheimer disease-amyloid secretase pathway,Prkca
Alzheimer disease-amyloid secretase pathway,Klc3
Alzheimer disease-amyloid secretase pathway,Aph1a
Alzheimer disease-amyloid secretase pathway,Mapk1
Alzheimer disease-amyloid secretase pathway,Prkcb
Alzheimer disease-amyloid secretase pathway,Apba3
ATP synthesis,Mtco1
ATP synthesis,Atp5f1a
ATP synthesis,Cyc1
ATP synthesis,Atp5f1c
ATP synthesis,Mtatp6
ATP synthesis,Cycs
Folate biosynthesis,Gch1
Folate biosynthesis,Tyms
Folate biosynthesis,Dhfr
FAS signaling pathway,Jun
FAS signaling pathway,Faf1
FAS signaling pathway,Lmnb2
FAS signaling pathway,Cyc1
FAS signaling pathway,Akt2
FAS signaling pathway,Casp6
FAS signaling pathway,Mapk9
FAS signaling pathway,Dffb
FAS signaling pathway,Fas
FAS signaling pathway,Parp3
FAS signaling pathway,Casp7
FAS signaling pathway,Parp1
FAS signaling pathway,Parp4
FAS signaling pathway,Faslg
FAS signaling pathway,Map2k4
FAS signaling pathway,Lmnb1
FAS signaling pathway,Parp2
FAS signaling pathway,Apaf1
FAS signaling pathway,Mt-Cyb
FAS signaling pathway,Daxx
FAS signaling pathway,Lmna
FAS signaling pathway,Fadd
FAS signaling pathway,Gsn
FAS signaling pathway,Casp8
FAS signaling pathway,Cflar
FAS signaling pathway,Capg
FAS signaling pathway,Casp3
FAS signaling pathway,Akt1
GABA-B_receptor_II_signaling,Prkar2a
GABA-B_receptor_II_signaling,Gngt2
GABA-B_receptor_II_signaling,Gnb2
GABA-B_receptor_II_signaling,Prkaca
GABA-B_receptor_II_signaling,Gng5
GABA-B_receptor_II_signaling,Prkar1a
GABA-B_receptor_II_signaling,Gnb4
GABA-B_receptor_II_signaling,Gnb1
GABA-B_receptor_II_signaling,Prkacb
GABA-B_receptor_II_signaling,Gng11
GABA-B_receptor_II_signaling,Prkx
GABA-B_receptor_II_signaling,Gng10
GABA-B_receptor_II_signaling,Gabbr1
GABA-B_receptor_II_signaling,Gnai3
GABA-B_receptor_II_signaling,Adcy7
Blood coagulation,Itgb3
Blood coagulation,F2r
Leucine biosynthesis,Bcat1
Leucine biosynthesis,Bcat2
Leucine biosynthesis,Idh3a
Vasopressin synthesis,Sec11a
Vasopressin synthesis,Spcs1
Vasopressin synthesis,Sec11c
Vasopressin synthesis,Nhlrc3
Vasopressin synthesis,Spcs2
Vasopressin synthesis,Oxt
Vasopressin synthesis,Prep
Toll_pathway_drosophila,Myd88
Endothelin signaling pathway,Sec11a
Endothelin signaling pathway,Ece1
Endothelin signaling pathway,Pik3c2a
Endothelin signaling pathway,Gna11
Endothelin signaling pathway,Itpr3
Endothelin signaling pathway,Araf
Endothelin signaling pathway,Pik3cg
Endothelin signaling pathway,Prkaca
Endothelin signaling pathway,Prkar1a
Endothelin signaling pathway,Prkcz
Endothelin signaling pathway,Akt2
Endothelin signaling pathway,Prkch
Endothelin signaling pathway,Pik3ca
Endothelin signaling pathway,Prkacb
Endothelin signaling pathway,Prkx
Endothelin signaling pathway,Prkcd
Endothelin signaling pathway,Pik3r1
Endothelin signaling pathway,Pik3r5
Endothelin signaling pathway,Pik3cd
Endothelin signaling pathway,Prkcq
Endothelin signaling pathway,Itpr2
Endothelin signaling pathway,Prkce
Endothelin signaling pathway,Adcy7
Endothelin signaling pathway,Sec11c
Endothelin signaling pathway,Prkar2a
Endothelin signaling pathway,Gnas
Endothelin signaling pathway,Map2k1
Endothelin signaling pathway,Adcy3
Endothelin signaling pathway,Itpr1
Endothelin signaling pathway,Mapk3
Endothelin signaling pathway,Prkca
Endothelin signaling pathway,Map2k2
Endothelin signaling pathway,Raf1
Endothelin signaling pathway,Mapk1
Endothelin signaling pathway,Pik3c3
Endothelin signaling pathway,Prkcb
Endothelin signaling pathway,Akt1
Inflammation mediated by chemokine and cytokine signaling pathway,Myh9
Inflammation mediated by chemokine and cytokine signaling pathway,Kras
Inflammation mediated by chemokine and cytokine signaling pathway,Jund
Inflammation mediated by chemokine and cytokine signaling pathway,Rras2
Inflammation mediated by chemokine and cytokine signaling pathway,Grb2
Inflammation mediated by chemokine and cytokine signaling pathway,Ifngr1
Inflammation mediated by chemokine and cytokine signaling pathway,Araf
Inflammation mediated by chemokine and cytokine signaling pathway,Cyth2
Inflammation mediated by chemokine and cytokine signaling pathway,Itgb2
Inflammation mediated by chemokine and cytokine signaling pathway,Rgs14
Inflammation mediated by chemokine and cytokine signaling pathway,Prkx
Inflammation mediated by chemokine and cytokine signaling pathway,Rhoa
Inflammation mediated by chemokine and cytokine signaling pathway,Itpr2
Inflammation mediated by chemokine and cytokine signaling pathway,Nfkbia
Inflammation mediated by chemokine and cytokine signaling pathway,Ccl5
Inflammation mediated by chemokine and cytokine signaling pathway,Itga4
Inflammation mediated by chemokine and cytokine signaling pathway,Grk2
Inflammation mediated by chemokine and cytokine signaling pathway,Gng5
Inflammation mediated by chemokine and cytokine signaling pathway,Tyk2
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc4
Inflammation mediated by chemokine and cytokine signaling pathway,Itpr1
Inflammation mediated by chemokine and cytokine signaling pathway,Ifng
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc1b
Inflammation mediated by chemokine and cytokine signaling pathway,Cxcr4
Inflammation mediated by chemokine and cytokine signaling pathway,Rel
Inflammation mediated by chemokine and cytokine signaling pathway,Grap
Inflammation mediated by chemokine and cytokine signaling pathway,Gng10
Inflammation mediated by chemokine and cytokine signaling pathway,Prkcb
Inflammation mediated by chemokine and cytokine signaling pathway,Akt1
Inflammation mediated by chemokine and cytokine signaling pathway,Rhog
Inflammation mediated by chemokine and cytokine signaling pathway,Itgb1
Inflammation mediated by chemokine and cytokine signaling pathway,Plcl2
Inflammation mediated by chemokine and cytokine signaling pathway,Rhoc
Inflammation mediated by chemokine and cytokine signaling pathway,Rock1
Inflammation mediated by chemokine and cytokine signaling pathway,Cxcr3
Inflammation mediated by chemokine and cytokine signaling pathway,Prkacb
Inflammation mediated by chemokine and cytokine signaling pathway,Cxcr6
Inflammation mediated by chemokine and cytokine signaling pathway,Stat1
Inflammation mediated by chemokine and cytokine signaling pathway,Stat3
Inflammation mediated by chemokine and cytokine signaling pathway,Ccl4
Inflammation mediated by chemokine and cytokine signaling pathway,Jak2
Inflammation mediated by chemokine and cytokine signaling pathway,Sos1
Inflammation mediated by chemokine and cytokine signaling pathway,Junb
Inflammation mediated by chemokine and cytokine signaling pathway,Camk2d
Inflammation mediated by chemokine and cytokine signaling pathway,Nras
Inflammation mediated by chemokine and cytokine signaling pathway,Vav1
Inflammation mediated by chemokine and cytokine signaling pathway,Raf1
Inflammation mediated by chemokine and cytokine signaling pathway,Chuk
Inflammation mediated by chemokine and cytokine signaling pathway,Gnai3
Inflammation mediated by chemokine and cytokine signaling pathway,Stat6
Inflammation mediated by chemokine and cytokine signaling pathway,Cish
Inflammation mediated by chemokine and cytokine signaling pathway,Gng2
Inflammation mediated by chemokine and cytokine signaling pathway,Pten
Inflammation mediated by chemokine and cytokine signaling pathway,Socs4
Inflammation mediated by chemokine and cytokine signaling pathway,Relb
Inflammation mediated by chemokine and cytokine signaling pathway,Gna11
Inflammation mediated by chemokine and cytokine signaling pathway,Ccr5
Inflammation mediated by chemokine and cytokine signaling pathway,Jun
Inflammation mediated by chemokine and cytokine signaling pathway,Itpr3
Inflammation mediated by chemokine and cytokine signaling pathway,Actb
Inflammation mediated by chemokine and cytokine signaling pathway,Pik3cg
Inflammation mediated by chemokine and cytokine signaling pathway,Prex1
Inflammation mediated by chemokine and cytokine signaling pathway,Arrb2
Inflammation mediated by chemokine and cytokine signaling pathway,Ccrl2
Inflammation mediated by chemokine and cytokine signaling pathway,Rac1
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc5l
Inflammation mediated by chemokine and cytokine signaling pathway,Puf60
Inflammation mediated by chemokine and cytokine signaling pathway,Actg1
Inflammation mediated by chemokine and cytokine signaling pathway,Prkce
Inflammation mediated by chemokine and cytokine signaling pathway,Map3k4
Inflammation mediated by chemokine and cytokine signaling pathway,Socs6
Inflammation mediated by chemokine and cytokine signaling pathway,Ccl22
Inflammation mediated by chemokine and cytokine signaling pathway,Itgal
Inflammation mediated by chemokine and cytokine signaling pathway,Map3k7
Inflammation mediated by chemokine and cytokine signaling pathway,Gna15
Inflammation mediated by chemokine and cytokine signaling pathway,Rela
Inflammation mediated by chemokine and cytokine signaling pathway,Nfkbie
Inflammation mediated by chemokine and cytokine signaling pathway,Mapk3
Inflammation mediated by chemokine and cytokine signaling pathway,Ikbkb
Inflammation mediated by chemokine and cytokine signaling pathway,Mapk1
Inflammation mediated by chemokine and cytokine signaling pathway,Ccl3
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc1a
Inflammation mediated by chemokine and cytokine signaling pathway,Rac2
Inflammation mediated by chemokine and cytokine signaling pathway,Nfkb2
Inflammation mediated by chemokine and cytokine signaling pathway,Cdc42
Inflammation mediated by chemokine and cytokine signaling pathway,Prkaca
Inflammation mediated by chemokine and cytokine signaling pathway,Rras
Inflammation mediated by chemokine and cytokine signaling pathway,Pak2
Inflammation mediated by chemokine and cytokine signaling pathway,Bcl3
Inflammation mediated by chemokine and cytokine signaling pathway,Camk2b
Inflammation mediated by chemokine and cytokine signaling pathway,Pdpk1
Inflammation mediated by chemokine and cytokine signaling pathway,Prkcz
Inflammation mediated by chemokine and cytokine signaling pathway,Akt2
Inflammation mediated by chemokine and cytokine signaling pathway,Pik3ca
Inflammation mediated by chemokine and cytokine signaling pathway,Ccr2
Inflammation mediated by chemokine and cytokine signaling pathway,Itgb7
Inflammation mediated by chemokine and cytokine signaling pathway,Pik3cd
Inflammation mediated by chemokine and cytokine signaling pathway,Plcg1
Inflammation mediated by chemokine and cytokine signaling pathway,Nfkb1
Inflammation mediated by chemokine and cytokine signaling pathway,Grk6
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc5
Inflammation mediated by chemokine and cytokine signaling pathway,Ccr7
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc2
Inflammation mediated by chemokine and cytokine signaling pathway,Nfatc3
Inflammation mediated by chemokine and cytokine signaling pathway,Cx3cr1
Inflammation mediated by chemokine and cytokine signaling pathway,Shc1
Inflammation mediated by chemokine and cytokine signaling pathway,Il10rb
Inflammation mediated by chemokine and cytokine signaling pathway,Arpc3
Inflammation mediated by chemokine and cytokine signaling pathway,Braf
Inflammation mediated by chemokine and cytokine signaling pathway,Ptk2b
Inflammation mediated by chemokine and cytokine signaling pathway,Nfatc2
Inflammation mediated by chemokine and cytokine signaling pathway,Rgs1
Inflammation mediated by chemokine and cytokine signaling pathway,Gnai2
Inflammation mediated by chemokine and cytokine signaling pathway,Nfatc1
Inflammation mediated by chemokine and cytokine signaling pathway,Cxcl10
Inflammation mediated by chemokine and cytokine signaling pathway,Nfat5
Inflammation mediated by chemokine and cytokine signaling pathway,Rhoh
